ORAEC,Trismegistos Text
oraec3612,134299
oraec3628,381088
oraec3632,134299
oraec3633,134515
oraec3636,57201
oraec3640,57201
oraec3643,134267
oraec3659,134286
oraec3663,134515
oraec3667,134299
oraec3678,380902
oraec3681,134267
oraec3684,134515
oraec3699,134299
oraec3709,134299
oraec3724,134346
oraec3728,380844
oraec3744,139362
oraec3748,970775
oraec3760,380868
oraec3764,134265
oraec3767,381085
oraec3776,57201
oraec3783,134267
oraec3789,134299
oraec3807,755067
oraec3812,134265
oraec3842,134515
oraec3847,57201
oraec3849,57201
oraec3871,970675
oraec3879,380868
oraec3885,380901
oraec3903,755239
oraec3911,134299
oraec3912,57201
oraec3922,134267
oraec3925,134322
oraec3927,139352
oraec3939,322164
oraec3956,970766
oraec3961,57201
oraec3962,134515
oraec3963,57201
oraec3969,380902
oraec3974,134299
oraec3976,57201
oraec3984,134299
oraec3992,143322
oraec3994,139320
oraec4004,134299
oraec4010,134299
oraec4011,134299
oraec4023,57201
oraec4024,57201
oraec4049,970794
oraec4071,970814
oraec4072,970767
oraec4076,970646
oraec4084,970777
oraec4095,136078
oraec4108,970797
oraec4109,380902
oraec4118,380902
oraec4128,57201
oraec4163,970808
oraec4167,970689
oraec4169,970763
oraec4170,970773
oraec4174,322163
oraec4175,380656
oraec4181,134281
oraec4210,380868
oraec4237,380868
oraec4238,380868
oraec4280,381088
oraec4320,755241
oraec4374,380868
oraec4389,134515
oraec4390,134299
oraec4391,57201
oraec4392,134299
oraec4393,134299
oraec4396,134286
oraec4397,134515
oraec4401,970650
oraec4406,57201
oraec4435,56996
oraec4440,57201
oraec4455,134299
oraec4459,57201
oraec4462,381088
oraec4465,139312
oraec4466,134515
oraec4485,57201
oraec4493,380868
oraec4502,134299
oraec4504,393224
oraec4512,755261
oraec4528,139345
oraec4531,139298
oraec4741,970688
oraec4916,381200
oraec4953,57201
oraec4954,57201
oraec4960,134515
oraec5007,380902
oraec5043,380902
oraec5085,380655
oraec5112,134515
oraec5114,57201
oraec5115,57201
oraec5127,380868
oraec5135,380868
oraec5163,134515
oraec5169,57201
oraec5172,380844
oraec5179,134515
oraec5186,380868
oraec5191,380868
oraec5204,57201
oraec5226,134299
oraec5234,134515
oraec5239,755239
oraec5251,134515
oraec5253,57201
oraec5272,380868
oraec5281,134299
oraec5287,134515
oraec5311,380849
oraec5323,380868
oraec5349,134299
oraec5359,139360
oraec5360,380849
oraec5368,134267
oraec5392,134515
oraec5413,134515
oraec5418,134515
oraec5419,134299
oraec5422,970877
oraec5429,56996
oraec5438,57201
oraec5440,380844
oraec5442,57201
oraec5450,380868
oraec5458,134515
oraec5459,134299
oraec5460,57201
oraec5466,380849
oraec5470,57201
oraec5474,57201
oraec5493,381201
oraec5500,755239
oraec5502,134299
oraec5503,57201
oraec5513,755239
oraec5519,381287
oraec5522,381088
oraec5524,134347
oraec5529,755194
oraec5565,134267
oraec5566,134299
oraec5567,57201
oraec5568,57201
oraec5569,134299
oraec5570,134515
oraec5585,57201
oraec5588,57201
oraec5589,134299
oraec5602,57201
oraec5603,57201
oraec5605,57201
oraec5606,57201
oraec5609,134265
oraec5627,57201
oraec5628,380849
oraec5652,134515
oraec5653,701198
oraec5691,380868
oraec5704,970651
oraec5716,970779
oraec5717,970778
oraec5727,970653
oraec5747,970674
oraec5754,755239
oraec5778,322163
oraec5780,322164
oraec5786,134322
oraec5787,134265
oraec5795,970672
oraec5815,970820
oraec5818,970696
oraec5819,970812
oraec5836,755239
oraec5885,380868
oraec5911,380868
oraec5912,380868
oraec6001,380868
oraec6002,755262
oraec6020,134265
oraec6143,381088
oraec6147,134286
oraec6157,57201
oraec6159,57201
oraec6166,57201
oraec6168,134515
oraec6169,134299
oraec6170,57201
oraec6181,380849
oraec6189,134315
oraec6190,134515
oraec6210,57201
oraec6230,380849
oraec6262,57201
oraec6266,134299
oraec6287,139344
oraec6297,136030
oraec6298,139329
oraec6299,380844
oraec6321,393762
oraec6323,380849
oraec6329,57201
oraec6368,380902
oraec6523,970791
oraec6582,134515
oraec6625,970652
oraec6662,970774
oraec6739,970686
oraec6835,139341
oraec6839,970676
oraec6920,755239
oraec6949,970810
oraec6970,136032
oraec7083,134515
oraec7093,380655
oraec7126,134267
oraec7137,57201
oraec7206,134515
oraec7384,970807
oraec7495,380849
oraec7637,134267
oraec7638,134299
oraec7639,134515
oraec7641,134515
oraec7642,57201
oraec7643,134299
oraec7644,134515
oraec7645,134299
oraec7646,134515
oraec7746,134515
oraec7747,57201
oraec7796,381088
oraec7891,380655
oraec7984,381214
oraec7986,381201
oraec8175,322164
oraec8184,381233
oraec8185,381233
oraec8186,380902
oraec8217,380849
oraec8226,380849
oraec8229,57201
oraec8237,134515
oraec8249,134515
oraec8250,380683
oraec8260,134299
oraec8263,57201
oraec8266,134299
oraec8267,134515
oraec8272,57201
oraec8274,134299
oraec8277,381290
oraec8292,380868
oraec8412,755239
oraec8433,755239
oraec8435,755239
oraec8459,380868
oraec8472,755239
oraec8510,380868
oraec8516,380868
oraec8530,380868
oraec8543,380868
oraec8572,380868
oraec8575,380868
oraec8588,755239
oraec8599,755239
oraec8604,755239
oraec8607,755239
oraec8628,380868
oraec8638,755239
oraec8640,380868
oraec8642,380868
oraec8650,380868
oraec8681,755239
oraec8719,380868
oraec8721,380868
oraec8745,755239
oraec8801,380868
oraec8814,755239
oraec8831,755262
oraec8837,380868
oraec8884,380868
oraec8888,755239
oraec8956,755239
oraec8982,755242
oraec8996,755241
oraec9004,381290
oraec9012,755048
oraec9013,136037
oraec9017,139323
oraec12807,393762
oraec12808,380656
oraec12809,393225
oraec12810,701207
oraec12813,701207
oraec12816,701207
oraec12817,381084
oraec12821,381201
oraec12824,381200
oraec12827,701193
oraec12828,391794
oraec12830,322163
oraec12832,380902
oraec12834,380902
oraec12837,380902
oraec12842,381201
oraec12843,380902
oraec12845,380656
oraec12852,380656
oraec12854,380902
oraec12858,380849
oraec12859,380849
oraec12860,380849
oraec12861,380844
oraec12862,755220
oraec12863,380849
oraec12864,380849
oraec12865,755220
oraec12866,380849
oraec12867,380849
oraec12868,755220
oraec12869,755220
oraec12870,755220
oraec12871,380844
oraec12872,380849
oraec12873,380849
oraec12874,380849
oraec12876,380849
oraec12877,755220
oraec12878,380849
oraec12879,380844
oraec12880,380849
oraec12881,380844
oraec12882,380849
oraec12883,380849
oraec12884,380844
oraec12885,755220
oraec12886,380849
oraec12887,380849
oraec12888,755220
oraec12889,380849
oraec12890,380849
oraec12891,755220
oraec12892,380849
oraec12893,380849
oraec12895,380844
oraec12896,380849
oraec12897,380849
oraec12898,380849
oraec12900,380849
oraec12901,380849
oraec12902,380844
oraec12903,380849
oraec12904,380849
oraec12906,380844
oraec12907,380849
oraec12908,380849
oraec12910,380849
oraec12911,380844
oraec12912,755220
oraec12913,380849
oraec12914,380849
oraec12915,380849
oraec12916,380849
oraec12917,380849
oraec12918,380849
oraec12919,380849
oraec12920,380849
oraec12921,380849
oraec12922,380849
oraec12923,380849
oraec12925,380849
oraec12926,380849
oraec12927,380849
oraec12928,380849
oraec12929,380849
oraec12930,381083
oraec12931,380844
oraec12932,380849
oraec12933,380849
oraec12934,380849
oraec12935,380849
oraec12936,380849
oraec12937,380849
oraec12939,380849
oraec12940,380844
oraec12941,380844
oraec12942,380849
oraec12943,380849
oraec12945,755220
oraec12946,380849
oraec12947,380849
oraec12948,380849
oraec12949,380849
oraec12951,380849
oraec12953,380849
oraec12955,57201
oraec12956,134299
oraec12957,134299
oraec12958,134299
oraec12959,134299
oraec12960,57201
oraec12961,134265
oraec12962,134267
oraec12963,57201
oraec12964,134299
oraec12965,134267
oraec12966,57201
oraec12967,134515
oraec12968,134265
oraec12969,134265
oraec12970,57201
oraec12971,57201
oraec12972,134515
oraec12973,134265
oraec12974,57201
oraec12975,57201
oraec12976,57201
oraec12977,57201
oraec12978,134515
oraec12979,134299
oraec12980,57201
oraec12981,134299
oraec12982,134515
oraec12983,134267
oraec12984,134299
oraec12985,57201
oraec12986,134299
oraec12987,134357
oraec12988,57201
oraec12989,134299
oraec12990,57201
oraec12991,57201
oraec12992,134299
oraec12993,134299
oraec12994,134357
oraec12995,134299
oraec12996,134265
oraec12997,134515
oraec12998,134299
oraec12999,134299
oraec13000,57201
oraec13001,134515
oraec13002,134299
oraec13003,134299
oraec13004,134299
oraec13005,134299
oraec13006,134545
oraec13007,134299
oraec13008,134299
oraec13009,134299
oraec13010,134299
oraec13011,57201
oraec13012,57201
oraec13013,134299
oraec13014,134265
oraec13015,57201
oraec13016,57201
oraec13017,57201
oraec13018,57201
oraec13019,57201
oraec13020,134265
oraec13021,134267
oraec13022,134299
oraec13023,57201
oraec13024,134286
oraec13025,133674
oraec13026,134299
